flag,label,prevalence_pct,plausible_share_pct,cms_form_increment,incremental_cost,increment_over_cost
MBD007,Trauma- and stressor-related disorders,1.6868876587459207,43.11569339630291,677.8343187215968,2595.182975209266,0.26118941330791473
INJ064,"Other unspecified injuries, subsequent encounter",2.88480624793401,42.175700902746435,674.8427679530754,2912.274543160094,0.23172360914187956
FAC014,Medical examination/evaluation,1.8618319366844973,43.74378557082292,486.61203680686486,2278.2587218413955,0.21358945414836916
SYM013,Respiratory signs and symptoms,2.3212716650431244,42.25764690898359,348.7912334901708,2866.259101252583,0.12168866148135234
END015,Other specified and unspecified endocrine disorders,0.9329374315656709,46.048675343971,345.0029988177546,2131.8038505707127,0.1618361833455703
SKN007,Other specified and unspecified skin disorders,4.708137103527612,38.79469334803063,326.93770813218686,2101.514701997992,0.15557241061476013
SYM014,Skin/Subcutaneous signs and symptoms,1.7318822987353548,42.84703627529135,275.189414600152,1707.6125969064533,0.16115447678161365
MUS010,"Musculoskeletal pain, not low back pain",8.280831730533334,37.24122321912699,261.9134241401191,1949.0810082313667,0.1343779058099716
FAC016,"Exposure, encounters, screening or contact with infectious disease",6.069290187584024,39.536327319923394,164.4394141743181,1000.0261660910079,0.1644351115502244
CIR012,Nonspecific chest pain,0.6738813917285145,45.97342042924792,121.46443323877232,2893.0271851293087,0.041985237422974046
RSP005,Acute bronchitis,1.1370747055751886,46.50783265043067,117.8622005285063,1864.016972101928,0.06323021855085414
NVS006,Other nervous system disorders (often hereditary or degenerative),0.5791201843771671,42.35552275149266,113.25424398176672,5873.483009189059,0.01928229702964673
END007,Nutritional deficiencies,1.8866454661122245,45.09496730942445,112.75150964228794,3245.0438117246827,0.0347457588199287
INJ061,"Sprains and strains, subsequent encounter",2.116493042798078,42.944014107882374,111.73831806700518,1431.5218854424509,0.07805561284343858
GEN007,Other specified and unspecified diseases of bladder and urethra,0.5268945131629278,41.91576652783154,51.28681444559696,3841.098475930981,0.013352121734698923
GEN025,Other specified female genital disorders,0.733358983962594,41.70930205703187,38.50912766782505,2035.0116985800053,0.018923295475252563
CIR015,Other and ill-defined heart disease,0.5945872874604771,46.05271453351596,1.3444846423031967e-06,2098.148727210805,6.407956809098565e-10
INF004,Fungal infections,1.292011431067279,43.44372292166651,5.588641517676168e-07,2354.440447940411,2.37366017159828e-10
RSP003,Influenza,2.2311385276419364,45.413768828363914,1.7465498496852666e-07,1493.6062621936017,1.1693509152272679e-10
EYE010,Blindness and vision defects,0.9442805923866694,42.13768908805231,9.086019996757885e-08,2198.8073248393557,4.132249285380977e-11
NEO025,Skin cancers - melanoma,0.5316489489793784,41.11865320786377,1.113648295573245e-10,429.0788253219486,2.5954398815594004e-13
MUS007,Other specified joint disorders,1.180050481868057,44.342004467792265,3.541479896098822e-13,1561.1336394533996,2.2685308974181107e-16
SYM012,Circulatory signs and symptoms,1.4476511330558002,43.1312674409709,1.0092061472422837e-13,1982.7089357324967,5.09003681304054e-17
SYM011,Genitourinary signs and symptoms,0.6778185857048078,43.901099988321896,7.53207590086267e-14,2798.182584253806,2.691774276363476e-17
MBD005,Anxiety and fear-related disorders,7.808981655358166,36.993599399690666,6.002749985489833e-14,2157.669630231286,2.782052405699562e-17
MUS025,Other specified connective tissue disease,2.498982286715387,43.02307266294495,4.776053972517976e-14,2062.4022272855864,2.3157723112062093e-17
CIR030,Aortic and peripheral arterial embolism or thrombosis,0.7180953628368092,45.929206458139625,2.470942873982317e-14,2527.695535320331,9.77547667215062e-18
NVS010,Headache; including migraine,2.578972870694481,40.35567006517534,1.8091662299870888e-14,1732.9868013387306,1.0439584586504119e-17
SYM015,General sensation/perception signs and symptoms,0.9233032054878694,43.65561536853885,1.426671686982455e-14,2757.0036253573476,5.17471821168729e-18
MUS038,Low back pain,2.2760545485041193,43.2460004011562,1.3456333263533637e-14,1200.6514173846365,1.1207527071300506e-17
MUS028,Other specified bone disease and musculoskeletal deformities,0.8098088827086782,44.71224606695165,1.2858561837115295e-14,1589.4896813823752,8.08974225358433e-18
DIG004,Esophageal disorders,5.06753038279887,38.31281852557509,1.2833390963564757e-14,2469.223143275448,5.197339494615761e-18
EYE002,Cataract and other lens disorders,1.761084884413885,41.320884796025105,1.24735308235719e-14,902.1307889079017,1.3826743280397362e-17
MUS009,Tendon and synovial disorders,1.0397826230746043,44.48227232658572,1.0875051787144333e-14,1052.044260340648,1.0337066791869604e-17
END010,Disorders of lipid metabolism,14.048986917394721,32.932625858141954,8.335216861020595e-15,0.0,
NEO028,Skin cancers - all other types,1.4557541418875204,40.194548014955636,6.863749396645229e-15,0.0,
GEN023,Menopausal disorders,0.861753489081169,41.5809075519133,5.005052749553774e-15,624.9216810393951,8.00908802080473e-18
INF012,Coronavirus disease – 2019 (COVID-19),3.733074319045176,41.00266003368862,4.329236975326978e-15,1271.4527219471063,3.4049531693928597e-18
RSP001,Sinusitis,2.2693424222185934,45.37556493378727,3.1653389372154193e-15,0.0,
DIG010,Abdominal hernia,0.642511653619569,42.73783725475439,3.0854946287810154e-15,0.0,
GEN017,Nonmalignant breast conditions,0.6351551815012206,41.80750585949323,2.9870225815448907e-15,0.0,
FAC008,Neoplasm-related encounters,1.0387139857376488,44.56690352176977,2.8337787654538375e-15,0.0,
GEN012,Hyperplasia of prostate,0.9676585482236942,41.47500249277076,2.731450163896426e-15,283.54285403005395,9.633288672501363e-18
EAR006,Other specified and unspecified disorders of the ear,1.2106608736951896,41.23254827603971,2.658475871147846e-15,913.907078454014,2.908912660622986e-18
DEN002,Nontraumatic dental conditions,0.615988630019274,40.47255015331642,2.5870509235073757e-15,0.0,
INJ031,Allergic reactions,4.083063719160359,40.97744343152009,2.5236900915326066e-15,0.0,
DEN001,Any dental condition including traumatic injury,0.6611696387117625,40.427369144623924,2.483248411868622e-15,0.0,
NEO073,Benign neoplasms,1.1210875960607563,40.52921456078239,2.0264167922188844e-15,439.518023632222,4.610543102356459e-18
CIR007,Essential hypertension,18.428856877698895,28.218444943277543,1.6137936787320077e-15,1080.6764022250154,1.4933181435343197e-18
FAC003,"Encounter for observation and examination for conditions ruled out (excludes infectious disease, neoplasm, mental disorders)",1.4294495508022962,44.17616795670512,1.384624749616694e-15,74.442292697625,1.859997454996263e-17
INF008,Viral infection,2.4049247988897537,42.33080955384405,1.0541505965226852e-15,7.207965183121912,1.4624801448695563e-16
GEN016,Other specified male genital disorders,0.5698892104050399,41.87277183058942,5.492799975889998e-16,0.0,
SKN005,Contact dermatitis,0.4877009345347104,43.015129517023524,5.386247078452296e-16,0.0,
