flag,label,prevalence_pct,plausible_share_pct,incremental_cost,increment_cms,rank_cms,increment_cms_pen_1,rank_cms_pen_1,increment_cms_cap_pen_dro_1,rank_cms_cap_pen_dro_1,increment_cms_robust_adv,rank_cms_robust_adv,increment_over_cost_cms
END015,Other specified and unspecified endocrine disorders,0.9329374315656709,43.96834300006074,2131.8038505707127,1165.4938410034413,70,1749.0337502608897,122,1872.8149947892387,107,1896.9582519036078,94,0.5467172041608906
FAC016,"Exposure, encounters, screening or contact with infectious disease",6.069290187584024,39.536327319923394,1000.0261660910079,1147.3363796970893,71,1913.9674945028655,77,1901.6381810447688,91,1893.155721163347,97,1.1473063591744812
DEN001,Any dental condition including traumatic injury,0.6611696387117625,39.41011736885564,0.0,1110.545216687022,72,2043.6024096024762,18,1997.5947472254659,49,1973.524628520442,55,
DEN002,Nontraumatic dental conditions,0.615988630019274,38.74553106656036,0.0,1110.13805417841,73,2043.1889101870572,19,1997.2886723999386,50,1973.2682740021824,56,
INJ061,"Sprains and strains, subsequent encounter",2.116493042798078,42.158933133905876,1431.5218854424509,1091.0318369977556,74,1910.3079653768325,79,1898.929374944942,93,1890.886946913179,99,0.7621482061104099
EAR001,Otitis media,2.071909212515345,39.55214808734953,0.0,1083.6761104798325,75,2016.3151238762543,25,1977.3965295102164,57,1956.6075091095781,57,
NVS006,Other nervous system disorders (often hereditary or degenerative),0.5791201843771671,29.92183366679984,5873.483009189059,1078.044374508172,76,1915.0242480832899,76,1888.0267943253687,98,1921.1700241660521,76,0.1835443080062669
EAR006,Other specified and unspecified disorders of the ear,1.2106608736951896,40.35505692828334,913.907078454014,1073.771190336711,77,2006.2560477031718,29,1969.950739093511,61,1950.3712496849373,59,1.1749238140852643
NEO028,Skin cancers - all other types,1.4557541418875204,29.278607803199954,0.0,1053.7193675817066,78,1985.8921467744183,34,1954.8772536388742,65,1937.7463757000662,66,
NEO073,Benign neoplasms,1.1210875960607563,33.67644080768458,439.518023632222,1050.9168245394226,79,1983.0459861256363,35,1952.7705079180487,66,1935.9818601655777,67,2.3910665047465818
CIR007,Essential hypertension,18.428856877698895,22.90839285087964,1080.6764022250154,1050.703947438693,80,1982.8297958949754,36,1952.6104825716905,67,1935.8478301273208,68,0.9722650973736339
GEN007,Other specified and unspecified diseases of bladder and urethra,0.5268945131629278,25.577379660405974,3841.098475930981,1039.7434237090229,81,1928.3152704879167,67,1908.1395080028128,88,1920.2044529518155,78,0.27068908288195254
GEN025,Other specified female genital disorders,0.733358983962594,21.162604972594824,2035.0116985800053,1039.1002850207274,82,1931.9370713261603,62,1914.9393729833653,83,1904.296201749521,88,0.510611455327649
INF012,Coronavirus disease – 2019 (COVID-19),3.733074319045176,41.00266003368862,1271.4527219471063,1038.2985123240292,83,1970.2312877821546,39,1943.2849889223587,68,1928.0372157525733,70,0.8166237677591156
RSP005,Acute bronchitis,1.1370747055751886,46.50783265043067,1864.016972101928,1036.6872546434545,84,1848.8983946925173,109,1853.4736307963085,118,1852.8152584843758,119,0.5561576263302211
NEO025,Skin cancers - melanoma,0.5316489489793784,27.14680506041061,429.0788253219486,1035.6228027548398,85,1967.5139345894247,40,1941.2735872774076,69,1926.3525561310882,71,2.4135956883395164
DIG004,Esophageal disorders,5.06753038279887,38.31281852557509,2469.223143275448,1034.3989445586367,86,1966.2710287767966,41,1940.3535807053004,70,1925.581999973187,72,0.41891675419277685
INF008,Viral infection,2.4049247988897537,42.33080955384405,7.207965183121912,1034.376098382262,87,1966.247827032095,42,1940.3364066303307,71,1925.5676157398289,73,143.50459139346913
INF003,Bacterial infections,2.129772909256061,42.60596144347774,65.15356577699382,1029.0956097090957,88,1960.8851550441366,44,1936.3669236471196,72,1922.2429551894243,75,15.794923845480099
GEN012,Hyperplasia of prostate,0.9676585482236942,9.932655676766291,283.54285403005395,1027.1341976073688,89,1958.8932163456936,46,1934.8924782988258,73,1921.0080260301527,77,3.622500736691105
INF004,Fungal infections,1.292011431067279,43.44372292166651,2354.440447940411,1022.95259776904,90,1954.6465352707362,49,1931.7490586938195,75,1918.3752390404275,79,0.43447800884659715
GEN016,Other specified male genital disorders,0.5698892104050399,12.14140375768773,0.0,1021.0414296712272,91,1952.705623120408,50,1930.3123835121316,76,1917.1719450036549,80,
SKN005,Contact dermatitis,0.4877009345347104,41.996121019377384,0.0,1017.9490087177306,92,1949.5650730219745,51,1927.987728899348,77,1915.2249182460998,81,
EYE002,Cataract and other lens disorders,1.761084884413885,23.573737966708123,902.1307889079017,1010.6362907050024,93,1942.1385429278998,55,2096.916719393106,39,2220.2103418397087,30,1.1202769078843378
EYE010,Blindness and vision defects,0.9442805923866694,41.511507403833555,2198.8073248393557,1008.424504735444,94,1939.8923335553009,57,1920.8279073029105,79,1912.9985161711827,82,0.45862340612728275
GEN005,Calculus of urinary tract,0.7970732308029416,35.37289767537782,991.5504537912803,1005.8357432361953,95,1937.2632817482558,59,2010.4007906408829,46,2024.0321653085844,49,1.014407022245105
MBD005,Anxiety and fear-related disorders,7.808981655358166,35.686257342334024,2157.669630231286,1005.3076164429557,96,1936.726935410772,60,1918.4848600126463,81,1907.2657423441221,86,0.465922865279053
GEN023,Menopausal disorders,0.861753489081169,16.669482012435203,624.9216810393951,1002.5182122030131,97,1933.8941180511085,61,1916.3879910770088,82,1905.5094991610251,87,1.604230166147515
