key,label,family,group,nc_ungamed,nc_post,nc_ungamed_fold_min,nc_ungamed_fold_max,nc_post_fold_min,nc_post_fold_max,enrollment_share_post
wls,Unconstrained WLS,reference,Non-Hispanic Black,-199.33061747698866,1082.0699460351038,-1340.9198604544933,759.3149451675725,194.1524444841623,2114.9010887210748,0.9833450534517659
wls,Unconstrained WLS,reference,Non-Hispanic Asian,164.28856810891654,1224.5814536896448,-1098.3598662816428,1265.4145815369957,-427.3841804830526,2397.1935031663534,0.9791835739792414
wls,Unconstrained WLS,reference,Needs ADL or IADL help,-7748.455786307084,-3628.1110696672545,-18673.483141024797,-2039.8567476526246,-13387.158004066165,1292.864454483911,0.9873948907866485
wls,Unconstrained WLS,reference,Mental health condition,203.56306275125468,2686.018402478593,-1732.9751153885663,2370.178451165741,1143.2221510389202,4961.323406384981,1.0382685800957203
wls,Unconstrained WLS,reference,Age 65 and over,3.7754583000474895,2755.9782437963245,-2539.9648909342677,2135.552836965434,1096.2643355109067,4739.7075540369015,1.0442942407411835
wls,Unconstrained WLS,reference,Uninsured all year,-102.571919262082,624.29142980183,-1197.5565771791928,1064.3529502349388,-453.6862519652564,1701.2775334855078,0.970517932713624
gbm,Tweedie boosting,reference,Income below 200% FPL,5.561678081617647,850.7283295440312,-1409.5099511521385,779.7420630996605,-532.1477415905997,1645.5014076355192,1.0613935384329392
gbm,Tweedie boosting,reference,Hispanic,92.4662292323048,542.1364550302676,-1888.201968965834,1091.9840342014795,-1653.448594346196,1669.9965471334872,1.02999109762417
gbm,Tweedie boosting,reference,Non-Hispanic Black,-5.454504669741689,858.3273543698234,-1453.6758221499542,1016.1678941030794,-525.4737261869371,2104.8607530502804,1.0090957534158693
gbm,Tweedie boosting,reference,Non-Hispanic Asian,301.377416616956,730.5607534854063,-1268.1902443793547,1250.5483903481977,-890.8371626016631,1856.1384956181719,0.9699635272492362
gbm,Tweedie boosting,reference,Needs ADL or IADL help,-5677.0261725309565,-2283.5823805288173,-15514.57814764056,-658.4881769405374,-14825.346663271397,5109.432071276256,0.9444970685151982
gbm,Tweedie boosting,reference,Mental health condition,550.481859511836,2204.3875910811335,-960.206058710233,2402.207075260987,479.2431517938936,4222.917782443936,1.0116578820780946
gbm,Tweedie boosting,reference,Age 65 and over,-455.25946263870463,1678.0872965473125,-2492.7741638018633,1035.6759852448145,-613.8963535699496,3675.5772083331635,1.0419726416310253
gbm,Tweedie boosting,reference,Uninsured all year,567.037418795761,674.6966801389333,-304.37119195337243,1198.2320514787095,-261.07534119542885,1381.138877034108,1.1504957105244162
fair,Fair stacked (paper 6),reference,Income below 200% FPL,209.17481879506244,2035.4585488363157,-1224.3343549835247,1037.2768936400034,266.27610736438226,3017.3546987729173,1.0003631657715153
fair,Fair stacked (paper 6),reference,Hispanic,-576.2680999393452,305.7505676592162,-2513.805055695814,398.71269338097227,-1908.2422285268847,1615.5369473467365,0.9699678658219321
fair,Fair stacked (paper 6),reference,Non-Hispanic Black,-138.07849338622725,1333.4649483210417,-1434.5950944455617,1020.4274564554571,-527.7793974297235,3022.123479193232,0.9851749697592902
fair,Fair stacked (paper 6),reference,Non-Hispanic Asian,-47.19538322458829,912.7572137264413,-1610.0847020183353,1132.297782269619,-1136.51778183365,2335.9542975602967,0.9888912278091531
fair,Fair stacked (paper 6),reference,Needs ADL or IADL help,846.5914348533005,6639.333961136571,-10036.92695672105,6498.758681528574,-5708.105417614371,17067.525407761197,1.0773326914686108
fair,Fair stacked (paper 6),reference,Mental health condition,381.7785399701924,3819.696374541041,-1468.5311308249816,2326.972542414482,1771.8848965464852,6472.505292472099,0.9984339381528805
fair,Fair stacked (paper 6),reference,Age 65 and over,2629.481122352226,6299.202442098396,-226.25604223997703,4828.383527572576,3129.491108485793,8337.135967250642,1.0958227984488809
fair,Fair stacked (paper 6),reference,Uninsured all year,-532.3054780949586,-49.936031492864394,-1284.3598978667437,236.3347844088917,-1015.0778866193833,747.1650987530618,0.9834718929104904
cms_cap,"CMS form, cost-capped",capped,Income below 200% FPL,330.8212056358026,1758.8538114933574,-1316.7753927919591,1084.019886138967,262.69036556006216,2528.8864998500076,1.015839461881753
cms_cap,"CMS form, cost-capped",capped,Hispanic,294.05850177319155,1331.4766110777434,-1522.7425781269062,1425.7416236067318,41.71566285106136,2289.4828167576584,0.995592501151862
cms_cap,"CMS form, cost-capped",capped,Non-Hispanic Black,85.35797884740343,1335.4949256175328,-1100.2930448024279,1191.9917150793024,274.88909198295323,2413.887547110009,0.9952503667529852
cms_cap,"CMS form, cost-capped",capped,Non-Hispanic Asian,591.0645886057172,1678.7511832744713,-689.6617662358204,1597.0103003738834,259.292850373562,2728.10755001829,0.98122206509378
cms_cap,"CMS form, cost-capped",capped,Needs ADL or IADL help,-9915.760913728134,-5878.0290130567655,-21637.468462178833,-3644.390881758415,-16370.596728402752,-59.54019353793056,0.9657649726512765
cms_cap,"CMS form, cost-capped",capped,Mental health condition,3.558805174252484,2362.9677265569608,-1962.6478695772505,1970.7092059115078,485.4736280005184,4083.9634480147033,1.0353671399194926
cms_cap,"CMS form, cost-capped",capped,Age 65 and over,21.64666742595031,3108.349647568274,-2801.3852951644812,2418.3468547115003,567.4357043742237,5372.796523974405,1.051092589853076
