key,sweep,value,rep,fold,r2_ungamed,r2_post,payment_base,coding,selection_shift,selection,codes_added,extraction,selection_ungamed,selection_interaction,profit_base,profit,nc_ungamed|Income below 200% FPL,nc_post|Income below 200% FPL,sel_share|Income below 200% FPL,nc_ungamed|Hispanic,nc_post|Hispanic,sel_share|Hispanic,nc_ungamed|Non-Hispanic Black,nc_post|Non-Hispanic Black,sel_share|Non-Hispanic Black,nc_ungamed|Non-Hispanic Asian,nc_post|Non-Hispanic Asian,sel_share|Non-Hispanic Asian,nc_ungamed|Needs ADL or IADL help,nc_post|Needs ADL or IADL help,sel_share|Needs ADL or IADL help,nc_ungamed|Mental health condition,nc_post|Mental health condition,sel_share|Mental health condition,nc_ungamed|Age 65 and over,nc_post|Age 65 and over,sel_share|Age 65 and over,nc_ungamed|Uninsured all year,nc_post|Uninsured all year,sel_share|Uninsured all year,distinct_codes,top_code_share,top_code
cms,tilt,0.1,0,1,0.1013146842927547,0.08819546616826968,7736062.502615937,529367.1667983176,295844.16928493825,396926.0425565539,60.06603528187289,926293.2093548714,342183.2568658353,54742.785690718585,17411.85407910793,1035013.7692016752,687.6481667415403,1524.0719806394927,1.0026095903625638,1128.2294525729535,1716.5004849280444,0.9970423224922716,-521.0249378266996,355.423085899956,0.996549616924018,-43.38674780118107,531.1520522019393,0.9794080656589277,-9491.601173597845,-7164.75800684873,0.9858808120833237,667.150554527626,2361.5448205363004,1.0183219099978431,-1193.7114970583928,858.0099283313775,1.0233964357398462,1593.111156436983,2039.3708280247297,1.022341542356242,6,0.3944954128440367,CIR019
cms,tilt,0.2,0,1,0.1013146842927547,0.08400893575496782,7736062.502615937,529367.1667983176,591689.1739761493,793853.2059548908,60.06603528187289,1323220.3727532085,684367.4799904963,109485.7259643945,17411.85407910793,1431940.932600012,687.6481667415403,1907.2290074969467,1.0052191880941022,1128.2294525729535,2011.7031666958833,0.9940846366326381,-521.0249378266996,753.4602746462982,0.9930992241048263,-43.38674780118107,759.7692897896567,0.9588160731702462,-9491.601173597845,-5698.817215774241,0.9717615842968121,667.150554527626,2945.1829841929775,1.036643871733189,-1193.7114970583928,1574.974801825285,1.0467929375466665,1593.111156436983,2237.4396644884914,1.0446831478006453,6,0.3944954128440367,CIR019
cms,tilt,0.3,0,1,0.1013146842927547,0.07926844029980407,7736062.502615937,529367.1667983176,887535.0140771748,1190781.4901997608,60.06603528187289,1720148.6569980783,1026552.6693780778,164228.8208216829,17411.85407910793,1828869.216844882,687.6481667415403,2288.4028706787576,1.0078287931946461,1128.2294525729535,2308.6685562627226,0.9911269424210644,-521.0249378266996,1154.2740981310162,0.9896488215423844,-43.38674780118107,998.4225254159047,0.9382240225337088,-9491.601173597845,-4189.645207031992,0.957642316640297,667.150554527626,3508.550213575073,1.054965885206257,-1193.7114970583928,2260.592969736175,1.0701895054207415,1593.111156436983,2427.214605490595,1.067024816333477,6,0.3944954128440367,CIR019
cms,tilt,0.5,0,1,0.1013146842927547,0.06764927323886694,7736062.502615937,529367.1667983176,1479229.200522819,1984641.4212480849,60.06603528187289,2514008.5880464027,1710925.946958369,273715.4742897156,17411.85407910793,2622729.1478932058,687.6481667415403,3044.8623762478537,1.0130480255028769,1128.2294525729535,2907.9509908079895,0.9852115289419551,-521.0249378266996,1964.348681491823,0.9827479871875832,-43.38674780118107,1508.6017639229037,0.8970397468160827,-9491.601173597845,-1033.7256544680517,0.92940366171658,667.150554527626,4578.554379063111,1.0916100673664355,-1193.7114970583928,3545.6678530849736,1.1169828393717744,1593.111156436983,2783.8828338081853,1.1117083426654952,6,0.3944954128440367,CIR019
cms,plan cost model,boosting on F3 only,0,1,0.1013146842927547,0.08493731591438392,7736062.502615937,529367.1667983176,605003.0022288928,757714.0566817876,60.06603528187289,1287081.2234801052,644642.8177479234,113071.23893386412,17411.85407910793,1395801.7833269087,687.6481667415403,1886.5194406592357,0.9901278365604367,1128.2294525729535,2045.9697348910504,0.9848199519950165,-521.0249378266996,677.2268950540173,0.9952611177135847,-43.38674780118107,728.550181512315,0.9627021409696325,-9491.601173597845,-5926.690047885246,0.9921627050879092,667.150554527626,2878.5646029700015,1.039432565016197,-1193.7114970583928,1494.1128653051055,1.0462156848427755,1593.111156436983,2325.464975482197,0.9882531015742643,6,0.3944954128440367,CIR019
cms,plan cost model,WLS on F3,0,1,0.1013146842927547,0.09214152661145258,7736062.502615937,529367.1667983176,219477.61082576076,537657.4700834393,60.06603528187289,1067024.6368817568,421475.336464645,116182.13361879434,17411.85407910793,1175745.1967285606,687.6481667415403,1646.3319085537923,1.0086910207241977,1128.2294525729535,1752.9029946194428,1.011408977538752,-521.0249378266996,520.3630608463321,0.996026258514186,-43.38674780118107,506.35197869960854,0.9853540003708274,-9491.601173597845,-6096.123989087762,0.9860981884350825,667.150554527626,2625.732379104637,1.007777111543615,-1193.7114970583928,1188.0866822984185,1.0241997566426841,1593.111156436983,2009.2555817132936,1.0374261157956888,6,0.3944954128440367,CIR019
cms,plausibility,system,0,1,0.1013146842927547,0.07838209714738253,7736062.502615937,461881.81540971546,593368.370753085,705700.9986731674,60.0908517769301,1167582.8140828828,612250.8103644946,93450.18830867288,17411.85407910793,1292787.8797891932,687.6481667415403,2092.6240283842917,1.010761992070545,1128.2294525729535,2064.1642913307464,0.9973031285084389,-521.0249378266996,459.65696979127176,0.9995130939943889,-43.38674780118107,1113.7968562640199,0.9666830637021857,-9491.601173597845,-4430.669402869529,0.9789530111131804,667.150554527626,2841.5231416695133,1.0340044471404548,-1193.7114970583928,2762.59178587917,1.05158531796515,1593.111156436983,2078.302333350302,1.0455776097010212,10,0.4910979228486647,CIR019
cms,plausibility,use,0,1,0.1013146842927547,0.08562698996807294,7736062.502615937,530137.0613796278,594469.7757620859,794442.1019253716,60.172768123888005,1324579.1633049992,682884.3628786016,111557.73904676989,17411.85407910793,1434235.0434529753,687.6481667415403,1922.7372223573932,1.0052062678401228,1128.2294525729535,2001.8925358839795,0.9936366814311766,-521.0249378266996,732.1625119366223,0.9934730424361734,-43.38674780118107,744.4177769054933,0.9588142176451524,-9491.601173597845,-5825.179635572927,0.968744362805563,667.150554527626,2917.9377636231548,1.0368042443725904,-1193.7114970583928,1598.303526848515,1.047162354450905,1593.111156436983,2233.4365849705277,1.044349926275132,6,0.4099264705882353,CIR019
cms,plausibility,any,0,1,0.1013146842927547,0.0778989409735491,7736062.502615937,529021.2541140377,581490.1363630894,767736.8840273867,60.0164210912065,1296758.1381414244,649537.6848764461,118199.1991509404,17411.85407910793,1405330.4240488948,687.6481667415403,2062.6613519230827,1.0084872485470346,1128.2294525729535,2280.1968028520764,0.9972654734096706,-521.0249378266996,850.8490978454205,0.9982195558138156,-43.38674780118107,1043.4193553277428,0.9606508579003855,-9491.601173597845,-5571.213407179405,0.9718829378239635,667.150554527626,3220.125745217241,1.0386879833912823,-1193.7114970583928,673.6332875013038,1.0349237250499814,1593.111156436983,2243.5283354163435,1.046570175259619,6,0.3966165413533835,CIR019
cms,share of added codes real,0.0,0,1,0.1013146842927547,,,529367.1667983176,,793853.2059548908,,1323220.3727532085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
